[2019_01_12__22_19_29] :MAIN [INFO   ] Program started.
[2019_01_12__22_19_29] :GENG [INFO   ] Constructing default GEngine.
[2019_01_12__22_19_29] :GENG [INFO   ] Initialising new GEngine...
[2019_01_12__22_19_30] :GENG [INFO   ] GLFW Initialised.
[2019_01_12__22_19_30] :GENG [INFO   ] Created GLFW window.
[2019_01_12__22_19_30] :GENG [INFO   ] GLFW window context set.
[2019_01_12__22_19_30] :GENG [INFO   ] GLEW Initialised.
[2019_01_12__22_19_30] :GENG [INFO   ] GEngine initialisation started...
[2019_01_12__22_19_30] :MAIN [INFO   ] Initialising GLSL shader programs...
[2019_01_12__22_19_30] :GSPR [INFO   ] Creating new program...
[2019_01_12__22_19_30] :GSPR [INFO   ] ../shaders/basic_texture.vert compiled succesfully.
[2019_01_12__22_19_30] :GSPR [INFO   ] ../shaders/basic_texture.frag compiled succesfully.
[2019_01_12__22_19_30] :GSPR [INFO   ] Program linked succesfully.
[2019_01_12__22_19_30] :GSPR [INFO   ] Loaded GShaderProgram 3 succesfully.
[2019_01_12__22_19_30] :GSVR [INFO   ] GShaderProgram Id 3, linking u_m to GShaderVariableHandleId 0
[2019_01_12__22_19_30] :GSVR [INFO   ] GShaderProgram Id 3, linking u_v to GShaderVariableHandleId 1
[2019_01_12__22_19_30] :GSVR [INFO   ] GShaderProgram Id 3, linking u_p to GShaderVariableHandleId 2
[2019_01_12__22_19_30] :GSPM [INFO   ] GShaderProgram added to GShaderProgramManager.
[2019_01_12__22_19_30] :GMSH [INFO   ] Loading new Mesh...
[2019_01_12__22_19_30] :GMSH [INFO   ] Buffered into VAO
[2019_01_12__22_19_30] :GENG [INFO   ] GEngine initialisation succesful.
[2019_01_12__22_19_30] :GENG [INFO   ] Initialised content succesfully.
[2019_01_12__22_19_30] :GENG [INFO   ] Running GL loop...
[2019_01_12__22_19_30] :GENG [INFO   ] ==================
[2019_01_12__22_19_31] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_32] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_33] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_34] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_35] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_36] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_37] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_38] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_39] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_40] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_41] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_42] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_43] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_43] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_44] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_45] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_46] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_47] :GENG [INFO   ] FPS 58
[2019_01_12__22_19_48] :MAIN [INFO   ] User triggered terminatation.
[2019_01_12__22_19_48] :GENG [INFO   ] ==================
[2019_01_12__22_19_48] :GENG [INFO   ] Window has closed. Application will now exit.
[2019_01_12__22_19_48] :GENG [INFO   ] GEngine terminated succesfully.
[2019_01_12__22_19_48] :MAIN [INFO   ] Program exit.
