[2019_01_04__18_21_46] :MAIN [INFO   ] Program started.
[2019_01_04__18_21_46] :GENG [INFO   ] Constructing default GEngine.
[2019_01_04__18_21_46] :GENG [INFO   ] Initialising new GEngine...
[2019_01_04__18_21_47] :GENG [INFO   ] GLFW Initialised.
[2019_01_04__18_21_47] :GENG [INFO   ] Created GLFW window.
[2019_01_04__18_21_47] :GENG [INFO   ] GLFW window context set.
[2019_01_04__18_21_47] :GENG [INFO   ] GLEW Initialised.
[2019_01_04__18_21_47] :GENG [INFO   ] GEngine initialisation started...
[2019_01_04__18_21_47] :MAIN [INFO   ] Initialising GLSL shader programs...
[2019_01_04__18_21_47] :GSPR [INFO   ] Creating new program...
[2019_01_04__18_21_47] :GSPR [INFO   ] ../shaders/basic_texture.vert compiled succesfully.
[2019_01_04__18_21_47] :GSPR [INFO   ] ../shaders/basic_texture.frag compiled succesfully.
[2019_01_04__18_21_47] :GSPR [INFO   ] Program linked succesfully.
[2019_01_04__18_21_47] :GSPR [INFO   ] Loaded GShaderProgram 3 succesfully.
[2019_01_04__18_21_47] :GSVR [INFO   ] GShaderProgram Id 3, linking u_m to GShaderVariableHandleId 0
[2019_01_04__18_21_47] :GSVR [INFO   ] GShaderProgram Id 3, linking u_v to GShaderVariableHandleId 1
[2019_01_04__18_21_47] :GSVR [INFO   ] GShaderProgram Id 3, linking u_p to GShaderVariableHandleId 2
[2019_01_04__18_21_47] :GSPM [INFO   ] GShaderProgram added to GShaderProgramManager.
[2019_01_04__18_21_47] :GMSH [INFO   ] Loading new Mesh...
[2019_01_04__18_21_47] :GMSH [INFO   ] Buffered into VAO
[2019_01_04__18_21_47] :GENG [INFO   ] GEngine initialisation succesful.
[2019_01_04__18_21_47] :GENG [INFO   ] Initialised content succesfully.
[2019_01_04__18_21_47] :GENG [INFO   ] Running GL loop...
[2019_01_04__18_21_47] :GENG [INFO   ] ==================
[2019_01_04__18_21_48] :GENG [INFO   ] FPS 101
[2019_01_04__18_21_49] :GENG [INFO   ] FPS 101
[2019_01_04__18_21_51] :GENG [INFO   ] FPS 334
[2019_01_04__18_21_51] :GENG [INFO   ] FPS 334
[2019_01_04__18_21_53] :GENG [INFO   ] FPS 251
[2019_01_04__18_21_53] :GENG [INFO   ] FPS 251
[2019_01_04__18_21_53] :GENG [INFO   ] FPS 201
[2019_01_04__18_21_55] :GENG [INFO   ] FPS 91
[2019_01_04__18_21_56] :GENG [INFO   ] FPS 63
[2019_01_04__18_21_56] :GENG [INFO   ] FPS 59
[2019_01_04__18_21_58] :GENG [INFO   ] FPS 39
[2019_01_04__18_21_58] :GENG [INFO   ] FPS 38
[2019_01_04__18_21_58] :GENG [INFO   ] FPS 36
[2019_01_04__18_21_59] :GENG [INFO   ] FPS 31
[2019_01_04__18_22_01] :GENG [INFO   ] FPS 26
[2019_01_04__18_22_03] :GENG [INFO   ] FPS 22
[2019_01_04__18_22_04] :GENG [INFO   ] FPS 21
[2019_01_04__18_22_04] :GENG [INFO   ] FPS 20
[2019_01_04__18_22_04] :GENG [INFO   ] FPS 19
[2019_01_04__18_22_05] :GENG [INFO   ] FPS 18
[2019_01_04__18_22_07] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_08] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_09] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_09] :GENG [INFO   ] FPS 18
[2019_01_04__18_22_10] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_11] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_12] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_13] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_14] :GENG [INFO   ] FPS 17
[2019_01_04__18_22_14] :MAIN [INFO   ] User triggered terminatation.
[2019_01_04__18_22_14] :GENG [INFO   ] ==================
[2019_01_04__18_22_14] :GENG [INFO   ] Window has closed. Application will now exit.
[2019_01_04__18_22_14] :GENG [INFO   ] GEngine terminated succesfully.
[2019_01_04__18_22_14] :MAIN [INFO   ] Program exit.
