[2019_01_18__20_36_48] :MAIN [INFO   ] Program started.
[2019_01_18__20_36_48] :GENG [INFO   ] Constructing default GEngine.
[2019_01_18__20_36_48] :GENG [INFO   ] Initialising new GEngine...
[2019_01_18__20_36_49] :GENG [INFO   ] GLFW Initialised.
[2019_01_18__20_36_49] :GENG [INFO   ] Created GLFW window.
[2019_01_18__20_36_49] :GENG [INFO   ] GLFW window context set.
[2019_01_18__20_36_49] :GENG [INFO   ] GLEW Initialised.
[2019_01_18__20_36_49] :GENG [INFO   ] GEngine initialisation started...
[2019_01_18__20_36_49] :MAIN [INFO   ] Initialising GLSL shader programs...
[2019_01_18__20_36_49] :GSPR [INFO   ] Creating new program...
[2019_01_18__20_36_49] :GSPR [INFO   ] ../shaders/basic_texture.vert compiled succesfully.
[2019_01_18__20_36_49] :GSPR [INFO   ] ../shaders/basic_texture.frag compiled succesfully.
[2019_01_18__20_36_49] :GSPR [INFO   ] Program linked succesfully.
[2019_01_18__20_36_49] :GSPR [INFO   ] Loaded GShaderProgram 3 succesfully.
[2019_01_18__20_36_49] :GSVR [INFO   ] GShaderProgram Id 3, linking u_m to GShaderVariableHandleId 0
[2019_01_18__20_36_49] :GSVR [INFO   ] GShaderProgram Id 3, linking u_v to GShaderVariableHandleId 1
[2019_01_18__20_36_49] :GSVR [INFO   ] GShaderProgram Id 3, linking u_p to GShaderVariableHandleId 2
[2019_01_18__20_36_49] :GSPM [INFO   ] GShaderProgram added to GShaderProgramManager.
[2019_01_18__20_36_49] :GMSH [INFO   ] Loading new Mesh...
[2019_01_18__20_36_49] :GMSH [INFO   ] Buffered into VAO
[2019_01_18__20_36_49] :GENG [INFO   ] GEngine initialisation succesful.
[2019_01_18__20_36_49] :GENG [INFO   ] Initialised content succesfully.
[2019_01_18__20_36_49] :GENG [INFO   ] Running GL loop...
[2019_01_18__20_36_49] :GENG [INFO   ] ==================
[2019_01_18__20_36_50] :GENG [INFO   ] FPS 58
[2019_01_18__20_36_51] :MAIN [INFO   ] User triggered terminatation.
[2019_01_18__20_36_51] :GENG [INFO   ] ==================
[2019_01_18__20_36_51] :GENG [INFO   ] Window has closed. Application will now exit.
[2019_01_18__20_36_51] :GENG [INFO   ] GEngine terminated succesfully.
[2019_01_18__20_36_51] :MAIN [INFO   ] Program exit.
